customer_id,name,grade
3,Ganep Mustofa,vvip
8,Nilam Fujiati,vip
9,Hesti Purwanti,vip
11,Luwar Permadi,customer
15,Tari Hassanah,vip
17,Galang Ardianto,customer
18,Kamaria Hasanah,vvip
20,Darmanto Najmudin,vvip
21,Wasis Kuswoyo,customer
24,Ian Wibisono,vvip
26,Ihsan Putra,customer
27,Indra Dabukke,vip
28,Putri Sudiati,vvip
32,Indah Utami,vvip
36,Timbul Napitupulu,customer
40,Elisa Suryatmi,customer
41,Ulva Melani,customer
45,Sari Mandasari,vip
46,Natalia Riyanti,vip
47,Jayeng Nugroho,vvip
48,Ghaliyati Pratiwi,vip
50,Salsabila Purnawati,customer
57,Balangga Megantara,vvip
61,Hasna Fujiati,vip
65,Hasna Lailasari,customer
67,Ina Nuraini,vip
68,Atmaja Hidayanto,vvip
71,Jarwa Waluyo,vvip
75,Nadine Zulaika,customer
76,Latika Nurdiyanti,vvip
79,Titin Rahayu,vip
81,Caraka Simbolon,customer
83,Kani Utami,customer
87,Karta Siregar,vvip
88,Keisha Oktaviani,vvip
89,Teddy Januar,vvip
90,Tirta Sihotang,vip
91,Aditya Marbun,customer
92,Kamaria Wulandari,vvip
93,Ami Kuswandari,vip
95,Irwan Lazuardi,vip
98,Dewi Mulyani,vvip
100,Gilda Nurdiyanti,customer
102,Nadia Zulaika,vip
104,Mustofa Tamba,vip
107,Uli Suartini,vvip
108,Winda Aryani,vip
109,Puspa Novitasari,vvip
110,Danang Pradipta,vip
111,Violet Oktaviani,vip
114,Ellis Namaga,vip
115,Aurora Mayasari,vip
116,Anastasia Puspasari,vip
117,Tari Nasyiah,vip
118,Hafshah Yulianti,vvip
119,Farhunnisa Hasanah,vvip
120,Calista Rahimah,customer
121,Jamal Saptono,vvip
122,Maria Laksmiwati,vvip
123,Maryadi Hidayanto,vip
125,Usyi Usada,customer
126,Karimah Namaga,vvip
127,Rahmat Marbun,vip
131,Lidya Wahyuni,customer
133,Kawaca Iswahyudi,customer
134,Almira Kusmawati,vip
136,Sarah Rahimah,vip
139,Tami Pudjiastuti,vvip
141,Restu Oktaviani,customer
142,Rosman Pratama,vvip
145,Halima Widiastuti,vvip
147,Keisha Halimah,vvip
149,Chelsea Wijayanti,vvip
150,Dono Mangunsong,vip
151,Kamaria Kusmawati,customer
152,Wahyu Situmorang,vvip
153,Candrakanta Budiyanto,customer
154,Elisa Purwanti,customer
155,Artanto Prasetya,vvip
156,Talia Purwanti,vvip
158,Pranawa Uwais,vip
159,Restu Suryatmi,customer
160,Adhiarja Siregar,vvip
161,Tami Mayasari,vvip
163,Rendy Santoso,customer
165,Gilda Yulianti,customer
168,Qori Zulaika,vvip
169,Dasa Wijaya,vip
170,Clara Rahmawati,vip
171,Jagaraga Wahyudin,vip
173,Restu Pudjiastuti,vvip
177,Tira Sudiati,vvip
179,Vicky Hariyah,vvip
181,Sarah Pratiwi,customer
182,Wakiman Pranowo,vvip
183,Sari Wastuti,vip
184,Humaira Permata,vip
185,Lamar Hidayanto,vvip
187,Bagus Habibi,customer
191,Citra Riyanti,vip
194,Gara Jailani,customer
195,Zulaikha Uyainah,customer
197,Puspa Nasyiah,vvip
198,Banara Pradipta,vvip
199,Amalia Yolanda,vvip
202,Qori Prastuti,vvip
203,Unjani Puspasari,customer
204,Dalima Astuti,vvip
206,Lantar Sihombing,customer
207,Victoria Maryati,customer
210,Candra Marpaung,customer
211,Farhunnisa Agustina,vvip
213,Ivan Mahendra,vvip
214,Samiah Lestari,vvip
215,Ismail Napitupulu,vvip
216,Zulaikha Mulyani,customer
217,Mila Agustina,vvip
218,Icha Novitasari,vvip
219,Marsito Saefullah,customer
221,Kamaria Laksita,vip
222,Mustika Irawan,vip
224,Ajeng Agustina,vvip
225,Hartana Haryanto,vvip
226,Ratih Sudiati,vip
229,Kani Usada,vvip
230,Dian Usamah,customer
231,Tira Mulyani,vvip
233,Jagaraga Pradana,customer
234,Gamblang Wibisono,vvip
235,Zizi Mulyani,vip
236,Cindy Permata,vip
238,Anastasia Haryanti,vvip
239,Padma Wijayanti,vip
241,Bajragin Uwais,vvip
243,Dian Nasyidah,vvip
244,Sakura Usamah,customer
245,Almira Pertiwi,customer
247,Zalindra Astuti,vip
249,Wirda Rahimah,customer
255,Ida Pudjiastuti,vip
256,Gaiman Sitorus,vip
257,Siska Aryani,customer
259,Kayla Laksmiwati,vip
262,Ana Winarsih,customer
263,Jais Nababan,vip
265,Omar Hutasoit,vip
267,Kania Usada,vip
268,Prabowo Latupono,vvip
270,Talia Wulandari,customer
273,Qori Maryati,vvip
274,Ridwan Halim,customer
278,Kayla Agustina,vip
280,Puti Handayani,vvip
281,Anom Suryono,customer
284,Ifa Wijayanti,vip
288,Kasiran Mustofa,customer
289,Eva Usada,customer
293,Padmi Kuswandari,vvip
295,Yessi Fujiati,vvip
300,Dadi Simbolon,customer
302,Kani Suartini,vip
305,Lala Wahyuni,customer
306,Kajen Manullang,vip
307,Dadap Hutagalung,vvip
308,Laras Utami,vip
312,Hari Nashiruddin,vip
313,Teddy Widodo,vip
314,Raihan Wibowo,vip
316,Mahdi Hidayat,vvip
317,Mutia Hariyah,vip
320,Oliva Yolanda,vip
321,Adinata Prakasa,customer
322,Salwa Purnawati,vip
325,Humaira Nasyiah,vip
330,Eva Andriani,vvip
332,Ira Hasanah,vvip
333,Wasis Mangunsong,vvip
336,Shakila Rahmawati,vip
337,Sabar Prayoga,customer
338,Fitriani Mayasari,vip
339,Wadi Kusumo,vip
342,Eman Megantara,customer
344,Salwa Fujiati,vip
345,Widya Maryati,vvip
346,Fitriani Suryatmi,customer
347,Lega Pangestu,vip
350,Salsabila Yuniar,customer
357,Puji Nasyidah,customer
358,Emin Maryadi,customer
360,Dalima Laksmiwati,vvip
361,Drajat Januar,vip
362,Farhunnisa Utami,vip
363,Gabriella Yuliarti,vvip
364,Jamalia Yuniar,vvip
365,Mustofa Setiawan,vvip
366,Lanjar Marbun,vvip
368,Amelia Wijayanti,customer
369,Rahmi Wulandari,vip
373,Diah Sudiati,vip
375,Arta Prakasa,vip
377,Devi Fujiati,vvip
379,Sakura Sudiati,vvip
382,Nova Nuraini,vvip
384,Asmadi Hardiansyah,vvip
386,Yunita Utami,customer
391,Puti Pertiwi,vip
392,Saka Mangunsong,customer
396,Aisyah Padmasari,vvip
399,Yance Nuraini,customer
401,Jamalia Permata,customer
403,Gandi Santoso,vip
404,Siti Nuraini,vvip
406,Indra Saptono,customer
407,Qori Nasyidah,customer
408,Digdaya Dongoran,customer
409,Mursinin Ramadan,vvip
415,Cici Fujiati,vvip
420,Puspa Nurdiyanti,vip
421,Zulaikha Nurdiyanti,vip
423,Panji Firmansyah,customer
424,Aurora Usada,vvip
426,Mitra Situmorang,customer
427,Taufan Iswahyudi,vvip
429,Wani Namaga,vvip
430,Ikhsan Jailani,vip
432,Opan Nugroho,vvip
434,Luluh Iswahyudi,vip
435,Rina Padmasari,vip
436,Heryanto Utama,vvip
438,Puji Puspita,vip
439,Lanang Saefullah,customer
441,Agnes Agustina,vip
444,Muni Rajata,vip
445,Yuliana Halimah,customer
446,Melinda Yulianti,vip
447,Lintang Yuliarti,vvip
449,Hasna Melani,customer
451,Mila Puspita,vip
460,Yessi Zulaika,customer
461,Samsul Dongoran,customer
462,Maida Hartati,vip
463,Restu Rahmawati,customer
465,Tiara Pudjiastuti,customer
469,Hamima Usada,vip
473,Eman Prasetyo,vip
474,Marsito Nugroho,vip
475,Halim Sitorus,vip
476,Belinda Sudiati,vip
479,Daliman Napitupulu,customer
480,Asirwanda Salahudin,customer
483,Fitriani Anggraini,customer
487,Ghani Firmansyah,vip
488,Soleh Jailani,vvip
490,Xanana Winarno,vip
491,Dewi Uyainah,customer
494,Nova Hastuti,vvip
495,Lasmanto Natsir,vip
496,Cemplunk Firmansyah,vvip
497,Rika Safitri,vip
509,Puti Haryanti,vvip
511,Widya Halimah,vvip
513,Ayu Maryati,vvip
515,Humaira Agustina,vvip
516,Paiman Kurniawan,vvip
519,Winda Wijayanti,vip
521,Ulya Halimah,vvip
525,Fathonah Safitri,vvip
526,Ulya Anggraini,customer
527,Lidya Yulianti,vip
528,Carub Saragih,vvip
530,Rahayu Pratiwi,vvip
535,Jelita Puspita,vvip
536,Agnes Pudjiastuti,vvip
537,Tedi Prasasta,customer
539,Ifa Nurdiyanti,vip
540,Padmi Novitasari,vvip
543,Unjani Mayasari,customer
544,Ajeng Astuti,vvip
548,Nabila Rahmawati,customer
550,Sadina Namaga,vip
551,Gabriella Winarsih,vip
552,Jasmin Mulyani,customer
553,Malika Nurdiyanti,customer
558,Utama Widodo,customer
559,Wahyu Hakim,vip
563,Surya Wasita,vip
564,Diah Haryanti,vip
565,Ifa Namaga,vip
566,Nadine Wulandari,vvip
569,Usyi Andriani,vvip
570,Azalea Nurdiyanti,vvip
572,Prasetyo Sihombing,vip
574,Atmaja Prakasa,vip
575,Hamima Uyainah,vip
579,Tina Rahayu,vip
582,Dodo Latupono,vvip
583,Ajeng Safitri,vip
585,Estiawan Saefullah,customer
588,Lili Wulandari,vvip
591,Titi Puspasari,vip
592,Liman Uwais,vip
593,Eka Nuraini,vvip
595,Kartika Mulyani,vip
600,Wulan Yuliarti,customer
601,Zulaikha Purnawati,customer
602,Ilsa Widiastuti,vip
603,Viktor Hutasoit,customer
604,Kania Usada,customer
607,Humaira Andriani,vip
609,Raisa Maryati,vip
610,Lanjar Suwarno,customer
611,Wage Maheswara,customer
612,Sari Haryanti,vip
614,Galuh Firgantoro,vvip
615,Rina Haryanti,vip
618,Cayadi Sirait,vip
619,Vivi Susanti,vip
620,Hafshah Nasyidah,customer
623,Setya Maheswara,vip
624,Carla Handayani,customer
625,Tami Wijayanti,customer
626,Pangeran Simbolon,vip
627,Tira Wijayanti,vip
628,Wardi Habibi,vip
631,Galak Saefullah,customer
632,Bella Wahyuni,customer
635,Keisha Farida,vvip
636,Carla Fujiati,vvip
637,Olivia Lestari,customer
638,Putri Namaga,customer
640,Galak Mansur,vvip
642,Usyi Nasyiah,vip
643,Mulyanto Anggriawan,customer
644,Eluh Kuswoyo,vvip
646,Bancar Kusumo,customer
650,Emong Suwarno,vip
651,Purwanto Sihombing,customer
653,Luluh Rajata,vvip
654,Karya Hutapea,customer
657,Amalia Yulianti,vvip
659,Koko Damanik,vvip
661,Bakidin Maheswara,customer
665,Yuni Usada,customer
666,Bakiadi Simbolon,vvip
670,Ibun Pratama,customer
672,Lidya Wahyuni,vip
675,Elma Lestari,vip
678,Ika Yuniar,vip
679,Lalita Laksita,customer
681,Yance Hariyah,vip
687,Restu Handayani,customer
688,Gina Permata,vip
689,Purwadi Tarihoran,customer
690,Juli Hariyah,vvip
693,Shania Rahmawati,vvip
694,Latika Lailasari,vip
696,Najam Wacana,vip
698,Oni Yulianti,customer
699,Ozy Ardianto,vip
702,Olivia Kusmawati,vvip
703,Zaenab Winarsih,customer
704,Bakiono Saefullah,vip
711,Suci Kusmawati,vip
713,Lidya Aryani,vip
715,Oni Susanti,vip
718,Gina Nasyidah,vip
719,Hani Maryati,customer
720,Respati Saptono,customer
722,Alika Wijayanti,vip
723,Dalimin Simanjuntak,customer
729,Salwa Hariyah,vvip
730,Paiman Zulkarnain,customer
731,Sadina Prastuti,customer
732,Hana Sudiati,customer
736,Darsirah Wahyudin,vip
737,Lili Sudiati,vip
738,Hana Puspita,vvip
740,Dinda Palastri,customer
741,Prabawa Prakasa,customer
742,Ikhsan Pradana,customer
745,Kani Fujiati,vip
748,Gangsar Saefullah,vip
749,Salwa Winarsih,vip
750,Rizki Suwarno,vvip
752,Laila Pudjiastuti,vip
753,Elvin Irawan,vvip
755,Lalita Kuswandari,vvip
759,Karta Waluyo,customer
762,Natalia Andriani,vip
764,Calista Anggraini,vip
766,Usyi Wulandari,vvip
767,Alika Wulandari,customer
769,Jefri Marbun,vvip
770,Paramita Yuniar,vvip
771,Jaswadi Simbolon,vip
778,Ganjaran Kusumo,vvip
781,Kezia Hasanah,customer
784,Fitriani Yulianti,vip
786,Widya Maryati,customer
787,Kamaria Mulyani,vvip
789,Julia Prastuti,vvip
790,Utama Adriansyah,vip
791,Hasta Wahyudin,vvip
794,Yuliana Namaga,vvip
796,Genta Melani,customer
797,Tami Prastuti,vip
799,Michelle Puspasari,customer
800,Gaiman Firgantoro,customer
801,Lega Salahudin,vvip
802,Vicky Yuliarti,vip
803,Gabriella Wahyuni,vip
806,Shakila Wijayanti,customer
811,Hardana Dongoran,vip
812,Farhunnisa Fujiati,vip
813,Rahmi Purnawati,vvip
817,Dian Hasanah,vip
819,Talia Namaga,vvip
821,Kania Pudjiastuti,vip
827,Paiman Zulkarnain,vip
828,Najwa Permata,vvip
829,Nasrullah Januar,customer
831,Laila Yuliarti,vvip
832,Gandi Nashiruddin,customer
833,Uli Wulandari,vvip
835,Maimunah Lailasari,customer
836,Labuh Siregar,vip
837,Gambira Wijaya,vvip
840,Icha Handayani,customer
844,Lurhur Wasita,customer
845,Nyana Wibowo,vvip
848,Kardi Simbolon,customer
849,Eli Safitri,customer
850,Yuni Namaga,customer
852,Yessi Puspita,customer
858,Vivi Wijayanti,customer
859,Anastasia Usada,customer
861,Malika Laksita,vip
864,Purwanto Saragih,vip
865,Puspa Laksita,vvip
866,Anastasia Wahyuni,customer
869,Adinata Wahyudin,vvip
870,Kambali Rajata,vip
871,Siti Novitasari,customer
872,Mulyono Saputra,customer
875,Harto Pranowo,vvip
876,Jayadi Dongoran,vvip
879,Dian Nurdiyanti,vip
880,Nadia Riyanti,vip
884,Agus Waskita,vvip
887,Maya Puspita,customer
889,Labuh Mandala,vip
891,Usyi Rahayu,vip
895,Endah Halimah,customer
897,Natalia Permata,vip
898,Zulfa Yolanda,vvip
899,Ibrahim Gunarto,vip
901,Salwa Haryanti,vip
902,Citra Agustina,customer
906,Nasrullah Mansur,vvip
907,Danang Prasasta,vip
908,Jayeng Rajata,customer
909,Gilang Santoso,customer
912,Fitria Uyainah,vvip
914,Cakrabuana Nainggolan,customer
916,Unjani Winarsih,vip
919,Sakti Mahendra,customer
921,Ami Pratiwi,customer
925,Ida Usada,customer
926,Empluk Marpaung,customer
928,Lili Nasyiah,vip
930,Bakianto Setiawan,vip
933,Zahra Rahmawati,customer
